City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chaihe,44.7667,129.7,-25.72,99,35,0.45,CN,1707074150
1,ghat,24.9647,10.1728,13.04,24,0,3.12,LY,1707073553
2,mumford,5.2618,-0.759,26.97,80,63,4.61,GH,1707074150
3,ribeira grande,38.5167,-28.7,17.65,94,75,9.39,PT,1707074150
4,porto novo,6.4965,2.6036,26.1,73,99,2.89,BJ,1707074150
5,grytviken,-54.2811,-36.5092,4.04,70,18,6.5,GS,1707074151
6,ust'-ilimsk,58.0006,102.6619,-19.2,100,98,1.79,RU,1707074151
7,bowie,33.4501,-94.4335,13.49,66,85,3.42,US,1707074151
8,longyearbyen,78.2186,15.6401,-1.09,74,40,11.32,SJ,1707074151
9,adamstown,-25.066,-130.1015,24.91,79,100,3.69,PN,1707074151
10,margaret river,-33.95,115.0667,14.95,66,81,3.12,AU,1707074114
11,badger,64.8,-147.5333,-27.02,68,100,0.0,US,1707074151
12,chateau-renault,47.5919,0.9114,8.19,90,85,2.74,FR,1707074152
13,albany,42.6001,-73.9662,5.13,54,2,1.34,US,1707074152
14,nar'yan-mar,67.6713,53.087,-19.38,91,82,3.13,RU,1707074152
15,west island,-12.1568,96.8225,27.99,78,40,2.57,CC,1707074152
16,juneau,58.3019,-134.4197,3.0,95,100,4.63,US,1707074152
17,port-aux-francais,-49.35,70.2167,5.05,72,7,10.06,TF,1707074103
18,waitangi,-43.9535,-176.5597,17.12,87,95,0.89,NZ,1707074152
19,ugoofaaru,5.6667,73.0,27.62,77,27,4.39,MV,1707074153
20,ancud,-41.8697,-73.8203,18.17,55,54,4.7,CL,1707074153
21,petropavlovsk-kamchatsky,53.0452,158.6483,-13.64,81,0,3.13,RU,1707074153
22,ushuaia,-54.8,-68.3,18.81,55,40,4.12,AR,1707074153
23,bethel,41.3712,-73.414,7.53,46,0,4.63,US,1707073874
24,urangan,-25.3,152.9,23.44,89,13,2.24,AU,1707074153
25,haiku-pauwela,20.9219,-156.3051,20.7,84,75,7.2,US,1707074154
26,shibetsu,43.659,145.132,-8.85,82,26,4.26,JP,1707073963
27,blackmans bay,-43.0167,147.3167,12.51,96,49,0.89,AU,1707074154
28,tokar,18.4254,37.729,22.62,60,54,5.29,SD,1707074154
29,afaahiti,-17.75,-149.2833,26.93,86,100,6.66,PF,1707074154
30,aitape,-3.1374,142.3475,26.09,92,100,2.19,PG,1707074154
31,edinburgh of the seven seas,-37.0676,-12.3116,15.75,77,70,9.17,SH,1707074155
32,talnakh,69.4865,88.3972,-18.22,97,100,2.87,RU,1707074155
33,cidade velha,14.9167,-23.6167,25.26,61,0,6.69,CV,1707074155
34,thompson,55.7435,-97.8558,-2.91,86,100,4.63,CA,1707074155
35,suva,-18.1416,178.4415,24.71,94,75,3.6,FJ,1707074155
36,codrington,-38.2667,141.9667,15.95,82,100,6.21,AU,1707074155
37,stephenville,32.2207,-98.2023,15.69,64,75,7.72,US,1707074155
38,laguna,38.421,-121.4238,13.99,82,100,10.29,US,1707074156
39,lompoc,34.6391,-120.4579,14.32,83,100,13.41,US,1707073972
40,souillac,-20.5167,57.5167,25.21,61,75,2.06,MU,1707074156
41,abu jibeha,11.4562,31.2285,24.46,14,13,3.72,SD,1707074156
42,sandnessjoen,66.0217,12.6316,-0.88,93,100,3.09,NO,1707074156
43,alice springs,-23.7,133.8833,29.75,43,17,3.09,AU,1707074156
44,whitehorse,60.7161,-135.0538,-26.57,69,75,2.06,CA,1707074112
45,hermanus,-34.4187,19.2345,20.45,88,4,1.03,ZA,1707074123
46,aasiaat,68.7098,-52.8699,-31.66,89,10,1.8,GL,1707074157
47,richfield,44.8833,-93.283,8.45,65,75,3.6,US,1707074157
48,puerto natales,-51.7236,-72.4875,24.25,35,75,16.98,CL,1707074157
49,fukui-shi,36.0644,136.2226,3.93,77,100,2.57,JP,1707073883
50,cidreira,-30.1811,-50.2056,27.39,75,2,4.37,BR,1707074157
51,hasaki,35.7333,140.8333,0.22,58,100,3.19,JP,1707074157
52,st. john's,47.5649,-52.7093,1.66,96,100,12.35,CA,1707074157
53,nemuro,43.3236,145.575,-6.51,71,11,7.58,JP,1707074158
54,utrik,11.2278,169.8474,25.93,72,39,7.12,MH,1707074158
55,kingston,17.997,-76.7936,30.09,68,75,4.12,JM,1707073816
56,mahina,-17.5065,-149.489,27.87,74,40,3.6,PF,1707074158
57,lluta,-16.0147,-72.0142,17.1,64,6,5.21,PE,1707074158
58,atafu village,-8.5421,-172.5159,28.65,79,100,9.91,TK,1707074158
59,voss,60.623,6.4229,-0.27,92,100,4.03,NO,1707074158
60,hadibu,12.65,54.0333,25.38,73,22,5.11,YE,1707074134
61,udachny,66.4167,112.4,-31.64,96,56,2.3,RU,1707074159
62,geraldton,-28.7667,114.6,17.23,72,45,7.72,AU,1707074159
63,ta`u,-14.2336,-169.5144,26.78,90,100,18.23,AS,1707074159
64,kununurra,-15.7667,128.7333,26.99,94,8,2.06,AU,1707073644
65,iqaluit,63.7506,-68.5145,-20.15,84,75,4.12,CA,1707074118
66,tsiombe,-25.3,45.4833,24.21,87,100,3.31,MG,1707074159
67,las lomitas,-24.7096,-60.593,42.12,19,98,1.76,AR,1707074160
68,ogre,56.8162,24.614,0.85,91,100,3.31,LV,1707074160
69,tura,25.5198,90.2201,13.5,44,67,1.4,IN,1707074160
70,verkhnyaya khava,51.8404,39.9413,1.04,88,100,6.35,RU,1707074160
71,villa angela,-27.5738,-60.7153,40.21,22,99,2.83,AR,1707074160
72,polyarnyy,69.1989,33.4478,-11.53,84,100,7.03,RU,1707074144
73,altar,30.7,-111.8167,17.91,26,0,2.36,MX,1707074160
74,chonchi,-42.6128,-73.8092,25.56,30,3,0.97,CL,1707074161
75,sovetskaya gavan',48.9723,140.2878,-18.83,89,16,2.58,RU,1707074161
76,najran,17.4924,44.1277,19.36,41,0,0.71,SA,1707074161
77,port lincoln,-34.7333,135.8667,16.89,69,100,6.69,AU,1707074133
78,bodaybo,57.8506,114.1933,-28.08,98,100,0.74,RU,1707074161
79,lerwick,60.1545,-1.1494,5.0,66,100,13.92,GB,1707074161
80,antalaha,-14.9003,50.2788,24.67,91,100,2.65,MG,1707074162
81,yuzhno-kurilsk,44.0306,145.8556,-4.24,71,58,8.33,RU,1707074162
82,punta arenas,-53.15,-70.9167,20.06,60,75,2.57,CL,1707074002
83,touros,-5.1989,-35.4608,29.45,64,5,7.49,BR,1707074162
84,bredasdorp,-34.5322,20.0403,22.87,82,25,2.3,ZA,1707074120
85,kuala belait,4.5833,114.1833,24.1,94,100,1.81,BN,1707074162
86,hawaiian paradise park,19.5933,-154.9731,21.61,84,100,6.17,US,1707074119
87,port augusta,-32.5,137.7667,21.07,67,0,10.19,AU,1707074163
88,quila,24.4228,-107.22,23.92,20,0,3.51,MX,1707074163
89,ust-nera,64.5667,143.2,-29.44,97,98,1.88,RU,1707074163
90,mugia,43.1041,-9.2179,12.73,84,88,0.71,ES,1707074163
91,isafjordur,66.0755,-23.124,-5.22,87,100,6.14,IS,1707074164
92,sitka,57.0531,-135.33,2.94,100,100,3.6,US,1707074164
93,saudarkrokur,65.7461,-19.6394,-9.91,82,99,2.37,IS,1707074164
94,oranjemund,-28.55,16.4333,20.1,87,0,1.83,NA,1707074164
95,north haven,41.3909,-72.8595,8.6,42,0,5.14,US,1707074164
